Energy,Optimal_t
1.7686894,10991.327514648438
1.7775328,10991.327514648438
1.7864205,10991.327514648438
1.7953526,10991.327514648438
1.8043294,10991.327514648438
1.8088491,10991.327514648438
1.809551,10991.327514648438
1.813351,13737.909393310547
1.8224178,13737.909393310547
1.8315299,13737.909393310547
1.8406875,13737.909393310547
1.8498909,1378.2909393310547
1.8591404,1378.2909393310547
1.8684361,1378.2909393310547
1.8709394,1378.2909393310547
1.8722607,1378.2909393310547
1.8777783,1378.2909393310547
1.8871672,1378.2909393310547
1.896603,1378.2909393310547
1.906086,1378.2909393310547
1.9156165,1378.2909393310547
1.9251945,1378.2909393310547
1.9348205,1378.2909393310547
1.9444946,1378.2909393310547
1.9542171,1378.2909393310547
1.9639882,1378.2909393310547
1.9738081,1378.2909393310547
1.9836772,1378.2909393310547
1.9935955,1378.2909393310547
2.0035635,1378.2909393310547
2.0135813,1378.2909393310547
2.0236492,1378.2909393310547
2.0337675,1378.2909393310547
2.0439363,1378.2909393310547
2.054156,1378.2909393310547
2.0644268,1721.6136741638184
2.0747489,1721.6136741638184
2.0851227,1721.6136741638184
2.0955483,1721.6136741638184
2.106026,1721.6136741638184
2.1165562,1721.6136741638184
2.1271389,1721.6136741638184
2.1377746,1721.6136741638184
2.1484635,1721.6136741638184
2.1592058,1721.6136741638184
2.1700018,1721.6136741638184
2.1808519,1721.6136741638184
2.1917561,1721.6136741638184
2.2027149,1721.6136741638184
2.2137285,1721.6136741638184
2.2247971,1721.6136741638184
2.2359211,1721.6136741638184
2.2471007,1721.6136741638184
2.2583362,2064.936408996582
2.2696279,2064.936408996582
2.2786505,2064.936408996582
2.280976,2064.936408996582
2.2833493,2064.936408996582
2.2923809,2064.936408996582
2.3038428,2064.936408996582
2.315362,2064.936408996582
2.3269388,2064.936408996582
2.3385735,2064.936408996582
2.3502664,2064.936408996582
2.3620177,2064.936408996582
2.3738278,2064.936408996582
2.385697,2064.936408996582
2.3976254,2064.936408996582
2.4096136,2064.936408996582
2.4216616,2408.2591438293457
2.4337699,2408.2591438293457
2.4459388,2408.2591438293457
2.4581685,2408.2591438293457
2.4704593,2408.2591438293457
2.4828116,2408.2591438293457
2.4952257,2408.2591438293457
2.5077018,2408.2591438293457
2.5202403,2408.2591438293457
